Essential Games,USA
Adeline Software,France
Funcom,Norway
Panther Software,Japan
Blast! Entertainment Ltd,United Kingdom
Game Life,USA
DSI Games,USA
Avalon Interactive,USA
Popcorn Arcade,United Kingdom
Neko Entertainment,France
Vir2L Studios,USA
Aques,Japan
Syscom,Japan
White Park Bay Software,United Kingdom
System 3,United Kingdom
Vatical Entertainment,USA
Daedalic,Germany
EA Games,USA
Media Factory,Japan
Vic Tokai,Japan
The Adventure Company,Canada
Game Arts,Japan
Broccoli,Japan
Acquire,Japan
General Entertainment,Japan
Excalibur Publishing,United Kingdom
Imadio,United Kingdom
Swing! Entertainment,Germany
Sony Music Entertainment,USA
Aqua Plus,Japan
Paradox Interactive,Sweden
Hip Interactive,Canada
DreamCatcher Interactive,Canada
Tripwire Interactive,USA
Sting,Japan
Yacht Club Games,USA
SCS Software,Czech Republic
Bigben Interactive,France
Havas Interactive,USA
Slitherine Software,United Kingdom
Graffiti,Japan
Funsta,United Kingdom
Telstar,Japan
U.S. Gold,United Kingdom
DreamWorks Interactive,USA
Data Design Interactive,United Kingdom
MTO,Japan
DHM Interactive,United Kingdom
FunSoft,United Kingdom
SPS,Japan
Bohemia Interactive,Czech Republic
Reef Entertainment,United Kingdom
Tru Blu Entertainment,Australia
Moss,Japan
T&E Soft,Japan
O-Games,United Kingdom
Aksys Games,USA
NDA Productions,Japan
Data East,Japan
Time Warner Interactive,USA
Gainax Network Systems,Japan
Daito,Japan
O3 Entertainment,USA
Gameloft,France
Xicat Interactive,Spain
Simon & Schuster Interactive,USA
Valcon Games,USA
PopTop Software,USA
TOHO,Japan
HMH Interactive,United Kingdom
5pb,Japan
Cave,Japan
CDV Software Entertainment,Germany
Microids,France
PM Studios,USA
Paon,Japan
Micro Cabin,Japan
GameTek,USA
Benesse,Japan
Type-Moon,Japan
Enjoy Gaming ltd.,United Kingdom
Asmik Corp,Japan
Interplay Productions,USA
Asmik Ace Entertainment,Japan
inXile Entertainment,USA
Image Epoch,Japan
Phantom EFX,USA
Evolved Games,USA
responDESIGN,USA
Culture Publishers,Japan
Griffin International,United Kingdom
Hackberry,Japan
Hearty Robin,Japan
Nippon Amuse,Japan
Origin Systems,USA
Seventh Chord,Japan
Mitsui,Japan
Milestone,Italy
Abylight,Spain
Flight-Plan,Japan
Glams,Japan
Locus,Japan
Warp,Japan
Daedalic Entertainment,Germany
Alternative Software,United Kingdom
Myelin Media,USA
Mercury Games,USA
Irem Software Engineering,Japan
Sunrise Interactive,Japan
Elite,United Kingdom
Evolution Games,Japan
Tivola,Germany
Global A Entertainment,Japan
Edia,Japan
Athena,Japan
Aria,Japan
Gamecock,USA
Tommo,USA
Altron,Japan
Happinet,Japan
iWin,USA
Media Works,Japan
Fortyfive,Japan
Revolution Software,United Kingdom
Imax,United Kingdom
Crimson Cow,Germany
10TACLE Studios,Germany
Groove Games,Canada
Pack-In-Video,Japan
Insomniac Games,USA
Ascaron Entertainment GmbH,Germany
Asgard,Japan
Ecole,Japan
Yumedia,Japan
Phenomedia,Germany
HAL Laboratory,Japan
Grand Prix Games,Japan
DigiCube,Japan
Creative Core,Japan
Kaga Create,Japan
WayForward Technologies,USA
LSP Games,Japan
ASCII Media Works,Japan
Coconuts Japan,Japan
Arika,Japan
Ertain,Japan
Marvel Entertainment,USA
Prototype,Japan
TopWare Interactive,Germany
Phantagram,South Korea
1C Company,Russia
The Learning Company,USA
TechnoSoft,Japan
Vap,Japan
Misawa,Japan
Tradewest,USA
Team17 Software,United Kingdom
Yeti,Japan
Pow,Japan
Navarre Corp,USA
MediaQuest,Japan
Max Five,Japan
Comfort,Japan
Monte Christo Multimedia,France
Pony Canyon,Japan
Riverhillsoft,Japan
Summitsoft,United Kingdom
Milestone S.r.l,Italy
Playmore,Japan
MLB.com,USA
Kool Kizz,Japan
Flashpoint Games,United Kingdom
49Games,Germany
Legacy Interactive,USA
Alawar Entertainment,Russia
CyberFront,Japan
Cloud Imperium Games Corporation,USA
Societa,Japan
Virtual Play Games,Japan
Interchannel,Japan
Sonnet,Japan
Experience Inc.,Japan
Zenrin,Japan
Iceberg Interactive,Netherlands
Ivolgamus,Lithuania
2D Boy,USA
MC2 Entertainment,France
Kando Games,Japan
Just Flight,United Kingdom
Office Create,Japan
Mamba Games,United Kingdom
Fields,Japan
Princess Soft,Japan
Maximum Family Games,USA
Berkeley,USA
Fuji,Japan
Dusenberry Martin Racing,USA
imageepoch Inc.,Japan
Big Fish Games,USA
Her Interactive,USA
Kamui,Japan
ASK,Japan
Headup Games,Germany
KSS,Japan
Cygames,Japan
KID,Japan
Quinrose,Japan
Sunflowers,Japan
dramatic create,Japan
TGL,Japan
Encore,USA
Extreme Entertainment Group,USA
Intergrow,Japan
G.Rev,Japan
Sweets,Japan
Kokopeli Digital Studios,Japan
Number None,USA
Nexon,South Korea
id Software,USA
Here's the list formatted as requested:

"Company","Country"
Falcom Corporation,Japan
AQ Interactive,Japan
CCP,Iceland
Milestone S.r.l.,Italy
Sears,USA
JoWood Productions,Austria
Seta Corporation,Japan
On Demand,USA
NCS,Japan
Aspyr,USA
Gremlin Interactive Ltd,United Kingdom
Agatsuma Entertainment,Japan
Compile Heart,Japan
Culture Brain,Japan
Mad Catz,USA
Shogakukan,Japan
Merscom LLC,USA
Rebellion Developments,United Kingdom
Nippon Telenet,Japan
TDK Core,Japan
bitComposer Games,Germany
Foreign Media Games,Germany
Astragon,Germany
SSI,USA
Kadokawa Games,Japan
Idea Factory,Japan
Performance Designed Products,USA
Asylum Entertainment,USA
Core Design Ltd.,United Kingdom
PlayV,Japan
UFO Interactive,USA
Idea Factory International,Japan
Playlogic Game Factory,Netherlands
Essential Games,USA
Adeline Software,France
Funcom,Norway
Panther Software,Japan
Blast! Entertainment Ltd,United Kingdom
Game Life,USA
DSI Games,USA
Avalon Interactive,USA
Popcorn Arcade,United Kingdom
Neko Entertainment,France
Vir2L Studios,USA
Aques,Japan
Syscom,Japan
White Park Bay Software,United Kingdom
System 3,United Kingdom
Vatical Entertainment,USA
Daedalic,Germany
EA Games,USA
Media Factory,Japan
Vic Tokai,Japan
The Adventure Company,Canada
Game Arts,Japan
Broccoli,Japan
Acquire,Japan
General Entertainment,Japan
Excalibur Publishing,United Kingdom
Imadio,United Kingdom
Swing! Entertainment,Germany
Sony Music Entertainment,USA
Aqua Plus,Japan
Paradox Interactive,Sweden
Hip Interactive,Canada
DreamCatcher Interactive,Canada
Tripwire Interactive,USA
Sting,Japan
Yacht Club Games,USA
SCS Software,Czech Republic
Bigben Interactive,France
Havas Interactive,USA
Slitherine Software,United Kingdom
Graffiti,Japan
Funsta,United Kingdom
Telstar,Japan
U.S. Gold,United Kingdom
DreamWorks Interactive,USA
Data Design Interactive,United Kingdom
MTO,Japan
DHM Interactive,United Kingdom
FunSoft,United Kingdom
SPS,Japan
Bohemia Interactive,Czech Republic
Reef Entertainment,United Kingdom
Tru Blu Entertainment,Australia
Moss,Japan
T&E Soft,Japan
O-Games,United Kingdom
Aksys Games,USA
NDA Productions,Japan
Data East,Japan
Time Warner Interactive,USA
Gainax Network Systems,Japan
Daito,Japan
O3 Entertainment,USA
Gameloft,France
Xicat Interactive,Spain
Simon & Schuster Interactive,USA
